player_name,draft_round,draft_number,pts,ast_pct,reb_pct,ts_pct,usg_pct,champ,all_star
A.C. Green,1,23,5.78,0.054,0.2794,0.4868,0.1274,3,1
Aaron Brooks,1,26,8.88,0.2307,0.0924,0.521,0.2222,0,0
Aaron Gordon,1,4,13.2,0.1232222222,0.2244444444,0.5486666667,0.1985555556,1,0
Aaron Gray,2,49,3.242857143,0.08771428571,0.3641428571,0.5271428571,0.1504285714,0,0
Aaron Holiday,1,23,6.56,0.173,0.092,0.5228,0.1776,0,0
Aaron McKie,1,17,6.272727273,0.1810909091,0.1604545455,0.4954545455,0.1382727273,0,0
Aaron Williams,0,0,5.241666667,0.063,0.2694166667,0.5520833333,0.1585,0,0
Abdel Nader,2,58,4.48,0.0666,0.1488,0.5176,0.1592,0,0
Adam Keefe,1,10,4.06,0.0694,0.276,0.5246,0.1328,0,0
Adonal Foyle,1,8,3.783333333,0.04166666667,0.2994166667,0.4959166667,0.12525,0,0
Adrian Griffin,0,0,3.577777778,0.1266666667,0.2212222222,0.4517777778,0.1288888889,0,0
AJ Price,2,52,5.35,0.2488333333,0.1085,0.4765,0.2106666667,0,0
Al Harrington,1,25,12.2,0.09825,0.232375,0.506125,0.229375,0,0
Al Horford,1,3,13.53125,0.1599375,0.267875,0.572375,0.188375,0,5
Al Jefferson,1,15,15.20714286,0.09314285714,0.3352857143,0.53,0.2515,0,0
Al-Farouq Aminu,1,8,7.090909091,0.07572727273,0.2559090909,0.5010909091,0.1492727273,0,0
Alan Anderson,0,0,6.8,0.09675,0.124625,0.520375,0.176625,0,0
Alan Henderson,1,16,7.318181818,0.04827272727,0.2851818182,0.5312727273,0.1738181818,0,0
Alec Burks,1,12,10.9,0.1351666667,0.1635833333,0.53675,0.2138333333,0,0
Alex Caruso,0,0,6.283333333,0.1778333333,0.1201666667,0.546,0.1385,1,0
Alex Len,1,5,6.72,0.0711,0.3064,0.5633,0.1667,0,0
Alexis Ajinca,1,20,4.557142857,0.046,0.2874285714,0.5204285714,0.2017142857,0,0
Alfonzo McKinnie,0,0,3.48,0.034,0.1804,0.5532,0.1496,0,0
Alize Johnson,2,50,2.34,0.065,0.337,0.4904,0.1418,0,0
Allan Houston,1,11,17.91111111,0.1264444444,0.09422222222,0.5398888889,0.2463333333,0,2
Allen Crabbe,2,31,7.7,0.07414285714,0.1161428571,0.5315714286,0.1505714286,0,0
Allen Iverson,1,1,26.06428571,0.2746428571,0.1027857143,0.517,0.311,0,11
Alonzo Gee,0,0,6,0.075625,0.17825,0.50575,0.15075,0,0
Alonzo Mourning,1,2,13.47272727,0.05881818182,0.2982727273,0.5714545455,0.2403636364,1,7
Alvin Williams,2,47,6.877777778,0.2313333333,0.1245555556,0.4181111111,0.1827777778,0,0
Amar'e Stoudemire,1,9,17.50714286,0.0645,0.2892857143,0.5829285714,0.256,0,6
Amir Johnson,2,56,6.757142857,0.08885714286,0.2805,0.6181428571,0.1490714286,0,0
Anderson Varejao,2,30,7.064285714,0.09035714286,0.364,0.5189285714,0.1528571429,0,0
Andray Blatche,2,49,9.366666667,0.1082222222,0.2904444444,0.4945555556,0.2288888889,0,0
Andre Drummond,1,9,13.07272727,0.07745454545,0.4742727273,0.5509090909,0.2138181818,0,2
Andre Iguodala,1,9,10.17368421,0.1934736842,0.1656842105,0.5486842105,0.1521052632,4,1
Andre Miller,1,8,12.04705882,0.3374117647,0.1392941176,0.5358235294,0.2011176471,0,0
Andre Roberson,1,26,3.685714286,0.063,0.2171428571,0.4552857143,0.1045714286,0,0
Andrea Bargnani,1,1,14.27,0.0738,0.1884,0.5242,0.2431,0,0
Andrei Kirilenko,1,24,10.95384615,0.1375384615,0.2164615385,0.5441538462,0.1766923077,0,1
Andres Nocioni,0,0,9.525,0.078125,0.225625,0.514625,0.21575,0,0
Andrew Bogut,1,1,8.6,0.1207857143,0.3542857143,0.5485714286,0.1580714286,1,0
Andrew Bynum,1,10,11.3125,0.075375,0.326875,0.5635,0.1955,2,1
Andrew DeClercq,2,34,4.533333333,0.04766666667,0.2875555556,0.5254444444,0.139,0,0
Andrew Nicholson,1,19,5.58,0.0544,0.2262,0.5046,0.2034,0,0
Andrew Wiggins,1,1,19.07777778,0.1095555556,0.134,0.5355555556,0.2427777778,1,1
Andris Biedrins,1,11,5.2,0.0523,0.3503,0.5514,0.104,0,0
Anfernee Hardaway,1,3,11.34545455,0.2034545455,0.1541818182,0.4795454545,0.1955454545,0,4
Anfernee Simons,1,24,11.66,0.151,0.094,0.558,0.2182,0,0
Antawn Jamison,1,4,17.5875,0.0790625,0.245125,0.5161875,0.2370625,0,2
Anthony Carter,0,0,4.323076923,0.3104615385,0.1216153846,0.4334615385,0.1662307692,0,0
Anthony Davis,1,1,23.81818182,0.1208181818,0.3102727273,0.5864545455,0.2777272727,1,8
Anthony Goldwire,2,52,4.128571429,0.2224285714,0.08785714286,0.438,0.1728571429,0,0
Anthony Johnson,2,39,5.3,0.2398461538,0.1028461538,0.4833846154,0.1620769231,0,0
Anthony Mason,3,53,12.25,0.1716666667,0.2718333333,0.5533333333,0.1551666667,0,1
Anthony Miller,2,39,1.783333333,0.06066666667,0.3758333333,0.464,0.1411666667,0,0
Anthony Morrow,0,0,9.166666667,0.06111111111,0.1043333333,0.5601111111,0.1815555556,0,0
Anthony Parker,1,21,7.211111111,0.1138888889,0.1212222222,0.5851111111,0.1576666667,0,0
Anthony Peeler,1,15,9.211111111,0.1576666667,0.1213333333,0.5104444444,0.1775555556,0,0
Anthony Randolph,1,14,7.166666667,0.08033333333,0.2995,0.5161666667,0.2283333333,0,0
Anthony Tolliver,0,0,5.623076923,0.06684615385,0.1826923077,0.5398461538,0.1323846154,0,0
Antoine Walker,1,6,17.20833333,0.1699166667,0.2506666667,0.48175,0.2594166667,1,3
Antoine Wright,1,15,4.45,0.06616666667,0.1298333333,0.417,0.1491666667,0,0
Antonio Daniels,1,4,6.992307692,0.2356153846,0.1008461538,0.5437692308,0.1593076923,1,0
Antonio Davis,2,45,10.39,0.0676,0.296,0.5098,0.1763,0,1
Antonio Harvey,0,0,2.02,0.0732,0.2344,0.4772,0.1686,0,0
Antonio McDyess,1,2,11.97857143,0.08521428571,0.3211428571,0.5322142857,0.2055,0,1
Aron Baynes,0,0,5.855555556,0.07544444444,0.2931111111,0.5435555556,0.1705555556,1,0
Arron Afflalo,1,27,10.70909091,0.09927272727,0.1182727273,0.5510909091,0.1710909091,0,0
Arvydas Sabonis,1,24,11.58333333,0.1453333333,0.3381666667,0.5605,0.2235,0,0
Austin Croshere,1,12,5.933333333,0.1000833333,0.26675,0.5209166667,0.1926666667,0,0
Austin Daye,1,15,4.766666667,0.08416666667,0.2196666667,0.4861666667,0.1993333333,1,0
Austin Rivers,1,10,8.418181818,0.1339090909,0.09145454545,0.5176363636,0.1674545455,0,0
Avery Bradley,1,19,10.36666667,0.0975,0.1078333333,0.50375,0.1911666667,0,0
Avery Johnson,0,0,7.875,0.32725,0.068875,0.493125,0.182875,1,0
Bam Adebayo,1,14,14.98333333,0.182,0.292,0.6028333333,0.2096666667,0,2
Baron Davis,1,3,15.86153846,0.3551538462,0.1250769231,0.4976153846,0.2428461538,0,2
Ben Gordon,1,3,13.89090909,0.1576363636,0.1047272727,0.5332727273,0.2512727273,0,0
Ben McLemore,1,7,8.466666667,0.06533333333,0.1082222222,0.5427777778,0.182,0,0
Ben Simmons,1,1,14.06,0.3282,0.2242,0.5768,0.1964,0,3
Ben Wallace,0,0,5.39375,0.06225,0.36325,0.4654375,0.10825,1,4
Beno Udrih,1,28,7.946153846,0.2633076923,0.1076923077,0.5286923077,0.1930769231,2,0
Billy Owens,1,3,7.94,0.1336,0.2468,0.466,0.179,0,0
Bimbo Coles,2,40,5.6875,0.241375,0.093375,0.448875,0.15925,0,0
Bismack Biyombo,1,7,5.15,0.05275,0.318,0.5600833333,0.1295,0,0
Blake Griffin,1,1,17.93076923,0.2049230769,0.2608461538,0.5523076923,0.2519230769,0,6
Bo Outlaw,0,0,4.808333333,0.09366666667,0.2295,0.5750833333,0.125,0,0
Bob Sura,1,17,8.811111111,0.2718888889,0.1676666667,0.5017777778,0.1934444444,0,0
Boban Marjanovic,0,0,5.4,0.07625,0.406,0.630875,0.247625,0,0
Bobby Jackson,1,23,10.025,0.20375,0.1589166667,0.5059166667,0.223,0,0
Bobby Portis,1,22,11.425,0.085125,0.30525,0.545625,0.21475,1,0
Bobby Simmons,2,41,6.82,0.0977,0.1724,0.4591,0.1577,0,0
Bogdan Bogdanovic,1,27,14.41666667,0.1701666667,0.1173333333,0.5691666667,0.2085,0,0
Bojan Bogdanovic,2,31,15.9,0.08788888889,0.1256666667,0.5924444444,0.2171111111,0,0
Bonzi Wells,1,11,11.12,0.1487,0.2197,0.5148,0.2597,0,0
Boris Diaw,1,21,8.421428571,0.1942857143,0.1848571429,0.5405714286,0.1612142857,1,0
Bostjan Nachbar,1,15,5.933333333,0.09166666667,0.1651666667,0.5023333333,0.195,0,0
Brad Miller,0,0,10.43571429,0.1587142857,0.2807857143,0.5643571429,0.1812142857,0,2
Bradley Beal,1,3,22.10909091,0.2033636364,0.1232727273,0.5584545455,0.2729090909,0,3
Brandan Wright,1,8,6.66,0.0474,0.2452,0.6173,0.1665,0,0
Brandon Bass,2,33,7.816666667,0.0565,0.2551666667,0.5450833333,0.1845,0,0
Brandon Ingram,1,2,19.82857143,0.1948571429,0.1541428571,0.5531428571,0.2521428571,0,1
Brandon Jennings,1,10,13.15555556,0.3082222222,0.1158888889,0.4942222222,0.2284444444,0,0
Brandon Knight,1,8,12.45555556,0.2158888889,0.113,0.5177777778,0.2313333333,0,0
Brandon Roy,1,6,16.33333333,0.23,0.1431666667,0.5131666667,0.2371666667,0,3
Brandon Rush,1,13,6.088888889,0.07744444444,0.1353333333,0.5134444444,0.1463333333,1,0
Brendan Haywood,1,20,6.592307692,0.03915384615,0.2907692308,0.5378461538,0.1453846154,1,0
Brent Barry,1,15,9.084615385,0.185,0.1352307692,0.6031538462,0.1590769231,2,0
Brent Price,2,32,4.183333333,0.2338333333,0.09966666667,0.534,0.1903333333,0,0
Brevin Knight,1,16,7.383333333,0.3893333333,0.1151666667,0.4685833333,0.1699166667,0,0
